abbreviation	lipidmaps_category	chebi_id	chebi_name	pathway_id	pathway_name	msigdb_name	n_compounds	n_pathway_compounds	n_descendants	specificity
ST	ST	CHEBI:15889	sterol	R-MMU-168898	Toll-like Receptor Cascades	REACTOME_TOLL_LIKE_RECEPTOR_CASCADES	2	33	215	0.0606
ST	ST	CHEBI:15889	sterol	R-MMU-8856828	Clathrin-mediated endocytosis	REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS	1	17	215	0.0588
ST	ST	CHEBI:15889	sterol	R-MMU-2173782	Binding and Uptake of Ligands by Scavenger Receptors	REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	2	36	215	0.0556
ST	ST	CHEBI:15889	sterol	R-MMU-156584	Cytosolic sulfonation of small molecules	REACTOME_CYTOSOLIC_SULFONATION_OF_SMALL_MOLECULES	2	41	215	0.0488
ST	ST	CHEBI:15889	sterol	R-MMU-174824	Plasma lipoprotein assembly, remodeling, and clearance	REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY_REMODELING_AND_CLEARANCE	1	21	215	0.0476
ST	ST	CHEBI:15889	sterol	R-MMU-211945	Phase I - Functionalization of compounds	REACTOME_PHASE_I_FUNCTIONALIZATION_OF_COMPOUNDS	10	217	215	0.0461
ST	ST	CHEBI:15889	sterol	R-MMU-9006931	Signaling by Nuclear Receptors	REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS	3	68	215	0.0441
ST	ST	CHEBI:15889	sterol	R-MMU-193368	Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol	REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_7ALPHA_HYDROXYCHOLESTEROL	2	51	215	0.0392
ST	ST	CHEBI:15889	sterol	R-MMU-418346	Platelet homeostasis	REACTOME_PLATELET_HOMEOSTASIS	1	31	215	0.0323
ST	ST	CHEBI:15889	sterol	R-MMU-211859	Biological oxidations	REACTOME_BIOLOGICAL_OXIDATIONS	10	347	215	0.0288
ST	ST	CHEBI:15889	sterol	R-MMU-6806667	Metabolism of fat-soluble vitamins	REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS	1	38	215	0.0263
ST	ST	CHEBI:15889	sterol	R-MMU-8935690	Digestion	REACTOME_DIGESTION	1	44	215	0.0227
ST	ST	CHEBI:15889	sterol	R-MMU-8939211	ESR-mediated signaling	REACTOME_ESR_MEDIATED_SIGNALING	1	44	215	0.0227
ST	ST	CHEBI:15889	sterol	R-MMU-9969896	Lanosterol biosynthesis	REACTOME_LANOSTEROL_BIOSYNTHESIS	1	45	215	0.0222
ST	ST	CHEBI:15889	sterol	R-MMU-8963743	Digestion and absorption	REACTOME_DIGESTION_AND_ABSORPTION	1	46	215	0.0217
ST	ST	CHEBI:15889	sterol	R-MMU-2187338	Visual phototransduction	REACTOME_VISUAL_PHOTOTRANSDUCTION	1	53	215	0.0189
ST	ST	CHEBI:15889	sterol	R-MMU-156580	Phase II - Conjugation of compounds	REACTOME_PHASE_II_CONJUGATION_OF_COMPOUNDS	2	151	215	0.0132
ST	ST	CHEBI:15889	sterol	R-MMU-418594	G alpha (i) signalling events	REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	1	107	215	0.0093
ST	ST	CHEBI:15889	sterol	R-MMU-196854	Metabolism of vitamins and cofactors	REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS	1	183	215	0.0055
ST	ST	CHEBI:15889	sterol	R-MMU-9709957	Sensory Perception	REACTOME_SENSORY_PERCEPTION	1	195	215	0.0051
ST	ST	CHEBI:15889	sterol	R-MMU-500792	GPCR ligand binding	REACTOME_GPCR_LIGAND_BINDING	1	344	215	0.0029
TG	GL	CHEBI:17855	triglyceride	R-MMU-8963888	Chylomicron assembly	REACTOME_CHYLOMICRON_ASSEMBLY	1	4	1760	0.25
TG	GL	CHEBI:17855	triglyceride	R-MMU-8963889	Assembly of active LPL and LIPC lipase complexes	REACTOME_ASSEMBLY_OF_ACTIVE_LPL_AND_LIPC_LIPASE_COMPLEXES	1	6	1760	0.1667
TG	GL	CHEBI:17855	triglyceride	R-MMU-432142	Platelet sensitization by LDL	REACTOME_PLATELET_SENSITIZATION_BY_LDL	1	6	1760	0.1667
TG	GL	CHEBI:17855	triglyceride	R-MMU-8963901	Chylomicron remodeling	REACTOME_CHYLOMICRON_REMODELING	1	7	1760	0.1429
TG	GL	CHEBI:17855	triglyceride	R-MMU-6809371	Formation of the cornified envelope	REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE	1	9	1760	0.1111
TG	GL	CHEBI:17855	triglyceride	R-MMU-6805567	Keratinization	REACTOME_KERATINIZATION	1	9	1760	0.1111
TG	GL	CHEBI:17855	triglyceride	R-MMU-8964038	LDL clearance	REACTOME_LDL_CLEARANCE	1	9	1760	0.1111
TG	GL	CHEBI:17855	triglyceride	R-MMU-8964043	Plasma lipoprotein clearance	REACTOME_PLASMA_LIPOPROTEIN_CLEARANCE	1	9	1760	0.1111
TG	GL	CHEBI:17855	triglyceride	R-MMU-163560	Triglyceride catabolism	REACTOME_TRIGLYCERIDE_CATABOLISM	1	9	1760	0.1111
TG	GL	CHEBI:17855	triglyceride	R-MMU-8856825	Cargo recognition for clathrin-mediated endocytosis	REACTOME_CARGO_RECOGNITION_FOR_CLATHRIN_MEDIATED_ENDOCYTOSIS	1	11	1760	0.0909
TG	GL	CHEBI:17855	triglyceride	R-MMU-9707616	Heme signaling	REACTOME_HEME_SIGNALING	1	11	1760	0.0909
TG	GL	CHEBI:17855	triglyceride	R-MMU-202733	Cell surface interactions at the vascular wall	REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	1	12	1760	0.0833
TG	GL	CHEBI:17855	triglyceride	R-MMU-8963898	Plasma lipoprotein assembly	REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY	1	12	1760	0.0833
TG	GL	CHEBI:17855	triglyceride	R-MMU-8963899	Plasma lipoprotein remodeling	REACTOME_PLASMA_LIPOPROTEIN_REMODELING	1	16	1760	0.0625
TG	GL	CHEBI:17855	triglyceride	R-MMU-8856828	Clathrin-mediated endocytosis	REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS	1	17	1760	0.0588
TG	GL	CHEBI:17855	triglyceride	R-MMU-5686938	Regulation of TLR by endogenous ligand	REACTOME_REGULATION_OF_TLR_BY_ENDOGENOUS_LIGAND	1	19	1760	0.0526
TG	GL	CHEBI:17855	triglyceride	R-MMU-75109	Triglyceride biosynthesis	REACTOME_TRIGLYCERIDE_BIOSYNTHESIS	1	19	1760	0.0526
TG	GL	CHEBI:17855	triglyceride	R-MMU-174824	Plasma lipoprotein assembly, remodeling, and clearance	REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY_REMODELING_AND_CLEARANCE	1	21	1760	0.0476
TG	GL	CHEBI:17855	triglyceride	R-MMU-8979227	Triglyceride metabolism	REACTOME_TRIGLYCERIDE_METABOLISM	1	24	1760	0.0417
TG	GL	CHEBI:17855	triglyceride	R-MMU-418346	Platelet homeostasis	REACTOME_PLATELET_HOMEOSTASIS	1	31	1760	0.0323
TG	GL	CHEBI:17855	triglyceride	R-MMU-168898	Toll-like Receptor Cascades	REACTOME_TOLL_LIKE_RECEPTOR_CASCADES	1	33	1760	0.0303
TG	GL	CHEBI:17855	triglyceride	R-MMU-2173782	Binding and Uptake of Ligands by Scavenger Receptors	REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	1	36	1760	0.0278
TG	GL	CHEBI:17855	triglyceride	R-MMU-6806667	Metabolism of fat-soluble vitamins	REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS	1	38	1760	0.0263
TG	GL	CHEBI:17855	triglyceride	R-MMU-8935690	Digestion	REACTOME_DIGESTION	1	44	1760	0.0227
TG	GL	CHEBI:17855	triglyceride	R-MMU-8963743	Digestion and absorption	REACTOME_DIGESTION_AND_ABSORPTION	1	46	1760	0.0217
TG	GL	CHEBI:17855	triglyceride	R-MMU-2187338	Visual phototransduction	REACTOME_VISUAL_PHOTOTRANSDUCTION	1	53	1760	0.0189
TG	GL	CHEBI:17855	triglyceride	R-MMU-1483206	Glycerophospholipid biosynthesis	REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS	1	88	1760	0.0114
TG	GL	CHEBI:17855	triglyceride	R-MMU-1483257	Phospholipid metabolism	REACTOME_PHOSPHOLIPID_METABOLISM	1	98	1760	0.0102
TG	GL	CHEBI:17855	triglyceride	R-MMU-196854	Metabolism of vitamins and cofactors	REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS	1	183	1760	0.0055
TG	GL	CHEBI:17855	triglyceride	R-MMU-9709957	Sensory Perception	REACTOME_SENSORY_PERCEPTION	1	195	1760	0.0051
VitE	PR	CHEBI:33234	vitamin E	R-MMU-6806667	Metabolism of fat-soluble vitamins	REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS	1	38	17	0.0263
VitE	PR	CHEBI:33234	vitamin E	R-MMU-196854	Metabolism of vitamins and cofactors	REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS	1	183	17	0.0055
